,Product_Name,Link,Product_Image,Price,Details
12,FOIL SLIP DRESS,https://www.zara.com/in/en/foil-slip-dress-p08326350.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_1_1_1.jpg?ts=1692874443895': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_2_1_1.jpg?ts=1692874443188': 'Image 1 of FOIL SLIP DRESS from Zara'}]","₹ 3,990.00","Long dress made of metallic-effect fabric. Featuring a V-neckline, thin straps and an open back."
13,TRANSPARENT TULLE DRESS,https://www.zara.com/in/en/transparent-tulle-dress-p08497359.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_1_1_1.jpg?ts=1692874442937': 'Image 0 of TRANSPARENT TULLE DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_2_1_1.jpg?ts=1692874443525': 'Image 1 of TRANSPARENT TULLE DRESS from Zara'}]","₹ 2,990.00",Transparent midi dress with a high neck and long sleeves. Pronounced seams. Buttoned opening at the neck.
69,RUFFLED PRINTED DRESS,https://www.zara.com/in/en/ruffled-printed-dress-p09878246.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/246/592/2/w/448/9878246592_1_1_1.jpg?ts=1692699026082': 'Image 0 of RUFFLED PRINTED DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/246/592/2/w/448/9878246592_2_1_1.jpg?ts=1692699026260': 'Image 1 of RUFFLED PRINTED DRESS from Zara'}]","₹ 5,990.00",Sleeveless V-neck midi dress. Metallic thread detail and ruffles. Side slit at the hem. Combined lining. Invisible back zip fastening.
70,RUFFLED PRINTED DRESS,https://www.zara.com/in/en/ruffled-printed-dress-p08081752.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8081/752/620/2/w/448/8081752620_1_1_1.jpg?ts=1689696939737': 'Image 0 of RUFFLED PRINTED DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8081/752/620/2/w/448/8081752620_2_1_1.jpg?ts=1689696943176': 'Image 1 of RUFFLED PRINTED DRESS from Zara'}]","₹ 3,990.00","V-neck dress with thin straps that cross at the back. Featuring ruffled trims, lining, a front slit at the hem and invisible side zip fastening."
71,Z1975 DENIM DRESS,https://www.zara.com/in/en/z1975-denim-dress-p06164220.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6164/220/427/2/w/448/6164220427_1_1_1.jpg?ts=1692688582831': 'Image 0 of Z1975 DENIM DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6164/220/427/2/w/448/6164220427_2_1_1.jpg?ts=1692688583612': 'Image 1 of Z1975 DENIM DRESS from Zara'}]","₹ 3,990.00",Collared mini dress with a V-neckline and short sleeves. Featuring front and back patch pockets and metal button fastening at the front.
81,LINEN BLEND MIDI DRESS,https://www.zara.com/in/en/linen-blend-midi-dress-p04786297.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4786/297/615/2/w/448/4786297615_1_1_1.jpg?ts=1688726905806': 'Image 0 of LINEN BLEND MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4786/297/615/2/w/448/4786297615_2_1_1.jpg?ts=1688726904087': 'Image 1 of LINEN BLEND MIDI DRESS from Zara'}]","₹ 4,990.00",Midi dress made of a linen blend fabric. Straight-cut neckline and thin straps that cross at the back with adjustable ties. Side gathered details. Slit at the hem. Invisible back zip fastening.
82,CUTWORK EMBROIDERY MIDI DRESS,https://www.zara.com/in/en/cutwork-embroidery-midi-dress-p07678916.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7678/916/250/2/w/448/7678916250_1_1_1.jpg?ts=1685103817792': 'Image 0 of CUTWORK EMBROIDERY MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7678/916/250/2/w/448/7678916250_2_1_1.jpg?ts=1685103817962': 'Image 1 of CUTWORK EMBROIDERY MIDI DRESS from Zara'}]","₹ 4,990.00",Dress featuring a ruffled straight neckline with elasticated trim. Short sleeves. Belt in the same fabric with a buckle and matching cutwork embroidery. Lining. Front button fastening.
0,PADDED JACKET WITH POCKETS,https://www.zara.com/in/en/padded-jacket-with-pockets-p04088242.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4088/242/800/2/w/448/4088242800_1_1_1.jpg?ts=1691658771413': 'Image 0 of PADDED JACKET WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4088/242/800/2/w/448/4088242800_2_1_1.jpg?ts=1691658771801': 'Image 1 of PADDED JACKET WITH POCKETS from Zara'}]","₹ 7,590.00","Padded jacket with a high neck and long sleeves, Front patch pockets. Adjustable hem with matching drawstrings. Front zip fastening."
1,WOOL BOMBER JACKET WITH ZIP,https://www.zara.com/in/en/wool-bomber-jacket-with-zip-p02893108.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_1_1_1.jpg?ts=1693224696563': 'Image 0 of WOOL BOMBER JACKET WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_2_1_1.jpg?ts=1693224696588': 'Image 1 of WOOL BOMBER JACKET WITH ZIP from Zara'}]","₹ 7,590.00",Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.
24,SATIN BOMBER JACKET,https://www.zara.com/in/en/satin-bomber-jacket-p07854591.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7854/591/800/12/w/448/7854591800_1_1_1.jpg?ts=1692002574641': 'Image 0 of SATIN BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7854/591/800/12/w/448/7854591800_2_1_1.jpg?ts=1692002574599': 'Image 1 of SATIN BOMBER JACKET from Zara'}]","₹ 3,990.00",Bomber jacket with a round neckline and long sleeves. Front flap pockets and a zipped sleeve pocket. Elasticated trims. Front fastening with metal zip.
25,ZW RHINESTONE DENIM JACKET,https://www.zara.com/in/en/zw-rhinestone-denim-jacket-p06045244.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6045/244/428/2/w/448/6045244428_1_1_1.jpg?ts=1682412309615': 'Image 0 of ZW RHINESTONE DENIM JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6045/244/428/2/w/448/6045244428_2_1_1.jpg?ts=1682412309259': 'Image 1 of ZW RHINESTONE DENIM JACKET from Zara'}]","₹ 8,590.00",ZW ZARA WOMANCollared denim jacket with long sleeves. Chest patch pockets with buttoned flaps. Rhinestone appliqués. Button-up front.
26,DENIM JACKET WITH PATCH POCKETS,https://www.zara.com/in/en/denim-jacket-with-patch-pockets-p00108042.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0108/042/506/17/w/448/0108042506_1_1_1.jpg?ts=1689085992342': 'Image 0 of DENIM JACKET WITH PATCH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0108/042/506/17/w/448/0108042506_2_1_1.jpg?ts=1689085993086': 'Image 1 of DENIM JACKET WITH PATCH POCKETS from Zara'}]","₹ 2,990.00",Jacket with a lapel collar and long sleeves. Front patch pockets. Metal button fastenings on the front.
27,ZW OVERSIZE DENIM JACKET,https://www.zara.com/in/en/zw-oversize-denim-jacket-p01213244.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1213/244/428/2/w/448/1213244428_1_1_1.jpg?ts=1691482579040': 'Image 0 of ZW OVERSIZE DENIM JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1213/244/428/2/w/448/1213244428_2_1_1.jpg?ts=1691482579468': 'Image 1 of ZW OVERSIZE DENIM JACKET from Zara'}]","₹ 3,990.00",ZW ZARA WOMANLoose-fitting denim jacket featuring a lapel collar and long sleeves with cuffs. Side pockets and chest patch pockets with buttoned flaps. Faded effect. Fastens at the front with metallic buttons.View more
52,NEOPRENE-EFFECT BOMBER JACKET,https://www.zara.com/in/en/neoprene-effect-bomber-jacket-p08073224.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8073/224/922/3/w/448/8073224922_1_1_1.jpg?ts=1692355396708': 'Image 0 of NEOPRENE-EFFECT BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8073/224/922/3/w/448/8073224922_2_1_1.jpg?ts=1692355399845': 'Image 1 of NEOPRENE-EFFECT BOMBER JACKET from Zara'}]","₹ 3,990.00",Bomber jacket with a round neckline and long sleeves with puffy cuffs. Front welt pockets. Adjustable hem with elastic drawstring and stoppers. Zip-up front.
0,KNIT SWEATER WITH ZIP,https://www.zara.com/in/en/knit-sweater-with-zip-p05536155.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_1_1_1.jpg?ts=1693222806360': 'Image 0 of KNIT SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_2_1_1.jpg?ts=1693222806482': 'Image 1 of KNIT SWEATER WITH ZIP from Zara'}]","₹ 3,290.00","Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims."
1,OPEN KNIT CAPE,https://www.zara.com/in/en/open-knit-cape-p02756102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2756/102/712/2/w/448/2756102712_1_1_1.jpg?ts=1693224111073': 'Image 0 of OPEN KNIT CAPE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2756/102/712/2/w/448/2756102712_2_1_1.jpg?ts=1693224110961': 'Image 1 of OPEN KNIT CAPE from Zara'}]","₹ 3,290.00",Cape in a textured open knit fabric with an asymmetric neck and sleeve.
